Available Drivers,Cancel Time,Order ID,Placed Time,Reject Time,Response Distance,Response Time,Service Type
85,,229,6/8/2018 3:30:54 PM,,,6/8/2018 3:31:01 PM,Van
33,,230,6/8/2018 3:34:17 PM,,3179,6/8/2018 3:34:25 PM,Van
65,,231,6/8/2018 3:34:43 PM,,2265,6/8/2018 3:34:51 PM,Van
215,,232,6/8/2018 3:34:57 PM,,352,6/8/2018 3:35:06 PM,Van
174,,233,6/8/2018 3:35:06 PM,,2749,6/8/2018 3:35:13 PM,Van
148,,234,6/8/2018 3:35:07 PM,,2925,6/8/2018 3:35:15 PM,Van
115,,235,6/8/2018 3:36:24 PM,,3139,6/8/2018 3:36:32 PM,Van
135,,236,6/8/2018 3:37:20 PM,,1379,6/8/2018 3:37:27 PM,Van
153,,237,6/8/2018 3:39:33 PM,,3164,6/8/2018 3:39:54 PM,Van
118,6/8/2018 3:41:24 PM,238,6/8/2018 3:39:55 PM,,1914,6/8/2018 3:40:02 PM,Van
18,,239,6/8/2018 3:40:04 PM,,2778,6/8/2018 3:40:13 PM,Van
171,,240,6/8/2018 3:43:34 PM,,751,6/8/2018 3:43:44 PM,Van
15,,241,6/8/2018 3:47:36 PM,,2211,6/8/2018 3:48:22 PM,Van
102,,242,6/8/2018 3:47:52 PM,,1183,6/8/2018 3:48:00 PM,Van
76,,243,6/8/2018 3:51:51 PM,,2467,6/8/2018 3:52:13 PM,Van
188,6/8/2018 3:54:51 PM,244,6/8/2018 3:54:25 PM,,2155,6/8/2018 3:54:32 PM,Van
109,,245,6/8/2018 3:57:00 PM,,2529,6/8/2018 3:57:20 PM,Van
113,,246,6/8/2018 3:57:40 PM,,4713,6/8/2018 3:57:48 PM,Van
156,,247,6/8/2018 4:03:20 PM,,806,6/8/2018 4:03:28 PM,Van
149,,248,6/8/2018 4:03:33 PM,,3123,6/8/2018 4:03:43 PM,Van
15,,249,6/8/2018 4:03:39 PM,,3035,6/8/2018 4:03:50 PM,Van
159,,250,6/8/2018 4:05:02 PM,,2585,6/8/2018 4:05:10 PM,Van
14,,251,6/8/2018 4:08:11 PM,,4739,6/8/2018 4:08:37 PM,Van
39,6/8/2018 4:11:22 PM,252,6/8/2018 4:10:51 PM,,3014,6/8/2018 4:11:00 PM,Van
137,6/8/2018 4:12:05 PM,253,6/8/2018 4:11:47 PM,,1743,6/8/2018 4:11:55 PM,Van
114,,254,6/8/2018 4:11:59 PM,,2727,6/8/2018 4:12:06 PM,Van
22,,255,6/8/2018 4:12:14 PM,,4392,6/8/2018 4:12:33 PM,Van
140,6/8/2018 4:12:33 PM,256,6/8/2018 4:12:19 PM,,1743,6/8/2018 4:12:26 PM,Van
143,,257,6/8/2018 4:13:27 PM,,399,6/8/2018 4:13:34 PM,Van
163,,258,6/8/2018 4:14:26 PM,,2203,6/8/2018 4:14:48 PM,Van
27,,259,6/8/2018 4:17:39 PM,,807,6/8/2018 4:17:57 PM,Van
54,,260,6/8/2018 4:18:55 PM,,1261,6/8/2018 4:19:14 PM,Van
55,,261,6/8/2018 4:21:25 PM,,2614,6/8/2018 4:21:32 PM,Van
27,,262,6/8/2018 4:22:02 PM,,1082,6/8/2018 4:22:22 PM,Van
26,,263,6/8/2018 4:23:40 PM,,6428,6/8/2018 4:24:01 PM,Van
87,,264,6/8/2018 4:23:49 PM,,2375,6/8/2018 4:24:01 PM,Van
80,6/8/2018 4:25:23 PM,265,6/8/2018 4:24:58 PM,,2239,6/8/2018 4:25:07 PM,Van
35,,266,6/8/2018 4:29:07 PM,,1600,6/8/2018 4:29:14 PM,Van
22,6/8/2018 4:31:03 PM,267,6/8/2018 4:30:36 PM,,2290,6/8/2018 4:30:43 PM,Van
53,,268,6/8/2018 4:31:03 PM,,13313,6/8/2018 4:31:15 PM,Van
52,,269,6/8/2018 4:35:28 PM,,7547,6/8/2018 4:35:55 PM,Van
130,,270,6/8/2018 4:36:37 PM,,2017,6/8/2018 4:36:45 PM,Van
1,,271,6/8/2018 4:42:45 PM,,3884,6/8/2018 4:43:06 PM,Van
79,,272,6/8/2018 4:43:27 PM,,,6/8/2018 4:43:51 PM,Van
20,,273,6/8/2018 4:50:23 PM,,2156,6/8/2018 4:50:32 PM,Van
15,6/8/2018 4:51:20 PM,274,6/8/2018 4:51:02 PM,,,,Motorcycle
28,,275,6/8/2018 4:51:30 PM,,2483,6/8/2018 4:51:38 PM,Van
15,,276,6/8/2018 4:51:53 PM,,5562,6/8/2018 4:52:19 PM,Motorcycle
26,6/8/2018 4:53:29 PM,277,6/8/2018 4:53:18 PM,,644,6/8/2018 4:53:27 PM,Motorcycle
109,,278,6/8/2018 4:54:54 PM,,3134,6/8/2018 4:55:02 PM,Van
183,,279,6/8/2018 4:56:32 PM,,1865,6/8/2018 4:56:39 PM,Van
157,,280,6/8/2018 4:56:58 PM,,1171,6/8/2018 4:57:06 PM,Van
87,,281,6/8/2018 5:02:02 PM,,2978,6/8/2018 5:02:12 PM,Van
15,,282,6/8/2018 5:07:47 PM,,4604,6/8/2018 5:08:08 PM,Van
104,,283,6/8/2018 5:09:26 PM,,1898,6/8/2018 5:09:50 PM,Van
88,,284,6/8/2018 5:09:39 PM,,3144,6/8/2018 5:09:47 PM,Van
141,6/8/2018 5:15:52 PM,285,6/8/2018 5:15:29 PM,,6734,6/8/2018 5:15:37 PM,Van
75,,286,6/8/2018 5:20:35 PM,,3030,6/8/2018 5:20:46 PM,Van
15,,287,6/8/2018 5:24:13 PM,,159,6/8/2018 5:24:22 PM,Van
156,,288,6/8/2018 5:26:10 PM,,2674,6/8/2018 5:26:17 PM,Van
16,6/8/2018 5:30:05 PM,289,6/8/2018 5:29:37 PM,,4668,6/8/2018 5:29:58 PM,Van
16,6/8/2018 5:31:11 PM,290,6/8/2018 5:30:16 PM,,27583,6/8/2018 5:31:04 PM,Van
18,,291,6/8/2018 5:31:17 PM,,885,6/8/2018 5:32:06 PM,Van
71,,292,6/8/2018 5:36:01 PM,,2796,6/8/2018 5:36:11 PM,Van
157,,293,6/8/2018 5:36:34 PM,,3303,6/8/2018 5:36:57 PM,Van
131,,294,6/8/2018 5:37:56 PM,,3084,6/8/2018 5:38:05 PM,Van
158,,295,6/8/2018 5:39:08 PM,,6351,6/8/2018 5:39:15 PM,Van
33,,296,6/8/2018 5:39:30 PM,,5227,6/8/2018 5:40:12 PM,Van
29,,297,6/8/2018 5:40:27 PM,,1461,6/8/2018 5:40:34 PM,Van
